airline,code,delay
SkyWest Airlines Inc., OO,51.3107695546899674
Frontier Airlines Inc., F9,48.6472392638036810
ExpressJet Airlines Inc., EV,48.1855686274509804
JetBlue Airways, B6,44.8663496228271564
United Air Lines Inc., UA,42.7837013103572070
Delta Air Lines Inc., DL,42.5245830625947585
American Airlines Inc., AA,41.0146255223400836
Southwest Airlines Co., WN,37.5500957243139757
Spirit Air Lines, NK,37.1137071651090343
Virgin America, VX,34.8846473029045643
Hawaiian Airlines Inc., HA,34.0019607843137255
Alaska Airlines Inc., AS,31.0018126888217523
